timestamp,filepath,command,uid,pid,ppid,cwd,hostname,platform
1718366160,"","None",0,621,586,"None","bastion","LINUX"
1718366160,"","None",0,621,586,"None","bastion","LINUX"
1718366160,"","None",0,621,586,"None","bastion","LINUX"
1718366160,"","None",0,621,586,"None","bastion","LINUX"
1718366160,"","None",0,621,586,"None","bastion","LINUX"
1718366160,"/proc/self/fd/9","/usr/lib/systemd/systemd-executor --deserialize 49 --log-level info --log-target journal-or-kmsg",0,631,1,"/","bastion","LINUX"
1718366160,"/usr/lib/systemd/systemd-update-utmp","/usr/lib/systemd/systemd-update-utmp reboot",0,631,1,"/","bastion","LINUX"
1718366160,"/usr/lib/udev/scsi_id","/usr/lib/udev/scsi_id --export --allowlisted -d /dev/sda",0,634,482,"/","bastion","LINUX"
1718366160,"/usr/lib/udev/cdrom_id","/usr/lib/udev/cdrom_id --lock-media /dev/sr0",0,635,505,"/","bastion","LINUX"
1718366160,"/usr/lib/udev/cdrom_id","/usr/lib/udev/cdrom_id --lock-media /dev/sr1",0,633,504,"/","bastion","LINUX"
1718366160,"/usr/lib/systemd/systemd-sysctl","/usr/lib/systemd/systemd-sysctl --prefix --prefix --prefix --prefix",0,637,510,"/","bastion","LINUX"
1718366160,"/usr/lib/udev/ata_id","/usr/lib/udev/ata_id --export /dev/sr1",0,647,504,"/","bastion","LINUX"
1718366160,"/proc/self/fd/9","/usr/lib/systemd/systemd-executor --deserialize 45 --log-level info --log-target journal-or-kmsg",0,648,1,"/","bastion","LINUX"
1718366160,"/usr/lib/snapd/snapd-apparmor","/usr/lib/snapd/snapd-apparmor start",0,648,1,"/","bastion","LINUX"
1718366160,"/usr/lib/udev/ata_id","/usr/lib/udev/ata_id --export /dev/sr0",0,649,505,"/","bastion","LINUX"
1718366160,"/usr/bin/unshare","/usr/bin/unshare -m /usr/bin/snap auto-import --mount",0,654,482,"/","bastion","LINUX"
1718366160,"/usr/bin/unshare","/usr/bin/unshare -m /usr/bin/snap auto-import --mount",0,655,504,"/","bastion","LINUX"
